logRenyiAlpha,probTest,decoy_1
-2,0.223828125000000,0.975000000000000
-2,0.233593750000000,0.850000000000000
-1.90625000000000,0.249218750000000,0.834375000000000
-0.500000000000000,0.100781250000000,0.350000000000000
-0.500000000000000,0.118359375000000,0.350000000000000
-0.500000000000000,0.124218750000000,0.350000000000000
-0.500000000000000,0.120312500000000,0.100000000000000
-0.500000000000000,0.141796875000000,0.100000000000000
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
